title,date,year,genre,rating,total_gross,adjusted_gross
The Joy Luck Club,9/8/1993,1993,Drama,R,32.79,66.77
Money for Nothing,9/10/1993,1993,Comedy,R,1.04,2.13
The Program,9/24/1993,1993,Action,R,23.04,46.92
Cool Runnings,10/1/1993,1993,Comedy,PG,68.86,140.39
The Nightmare Before Christmas,10/13/1993,1993,Musical,PG,50.41,100.03
The Three Musketeers,11/12/1993,1993,Adventure,PG,53.66,109.31
Sister Act 2 Back in the Habit,12/10/1993,1993,Comedy,PG,57.32,116.97
Tombstone,12/25/1993,1993,Western,R,56.51,115.78
The Air Up There,1/7/1994,1994,Comedy,PG,20.78,42.94
Cabin Boy,1/7/1994,1994,Comedy,PG-13,3.47,7.17
Iron Will,1/14/1994,1994,Drama,PG,20.62,42.61
Blank Check,2/11/1994,1994,Comedy,PG,30.57,63.17
Angie,3/4/1994,1994,Comedy,R,9.25,19.12
The Ref,3/9/1994,1994,Comedy,R,11.33,23.4
D2: The Mighty Ducks,3/25/1994,1994,Comedy,PG,45.6,94.23
White Fang 2: Myth of the White Wolf,4/15/1994,1994,Adventure,PG,8.75,18.08
The Inkwell,4/22/1994,1994,Comedy,R,8.86,18.32
When a Man Loves a Woman,4/29/1994,1994,Drama,R,50.02,103.35
3 Ninjas Kick Back,5/6/1994,1994,Action,PG,11.74,24.27
Renaissance Man,6/3/1994,1994,Comedy,PG-13,24.17,49.95
The Lion King,6/15/1994,1994,Adventure,G,422.78,761.64
I Love Trouble,6/29/1994,1994,Romantic Comedy,PG,30.81,63.65
Angels in the Outfield,7/15/1994,1994,Comedy,PG,50.24,103.8
In the Army Now,8/12/1994,1994,Comedy,PG,28.88,59.67
Color of Night,8/19/1994,1994,Thriller/Suspense,R,19.75,40.8
Camp Nowhere,8/26/1994,1994,Comedy,PG,10.44,21.58
A Simple Twist of Fate,9/2/1994,1994,Drama,PG-13,3.4,7.04
Quiz Show,9/14/1994,1994,Drama,PG-13,24.79,50.84
Terminal Velocity,9/23/1994,1994,Action,PG-13,16.48,34.05
Ed Wood,9/30/1994,1994,Comedy,R,5.83,12.04
Squanto: A Warrior's Tale,10/28/1994,1994,Drama,PG,3.32,6.86
The Santa Clause,11/11/1994,1994,Comedy,PG,144.83,298.37
