animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1706	DOG	SCHNAUZER MIN	SEP	2017	406	6	STRAY	9/2/2017	TRANSFER	9/6/2017	SCAN NO CHIP	OVER THE COUNTER
1707	DOG	PIT BULL	DEC	2016	7804	10	STRAY	12/19/2016	EUTHANIZED	12/31/2016	SCAN NO CHIP	FIELD
1708	DOG	SHIH TZU	FEB	2017	20500	6	STRAY	2/23/2017	ADOPTION	3/5/2017	SCAN CHIP	OVER THE COUNTER
1709	CAT	DOMESTIC SH	OCT	2016	12601	9	STRAY	10/31/2016	DIED	11/25/2016	SCAN NO CHIP	FIELD
1710	CAT	DOMESTIC SH	MAY	2017	10601	6	OWNER SURRENDER	5/22/2017	EUTHANIZED	5/22/2017	SCAN NO CHIP	OVER THE COUNTER
1711	CAT	DOMESTIC SH	JUN	2017	10801	3	OWNER SURRENDER	6/20/2017	ADOPTION	6/30/2017	SCAN CHIP	OVER THE COUNTER
1712	DOG	PIT BULL	JAN	2017	8500	5	OWNER SURRENDER	1/26/2017	EUTHANIZED	1/26/2017	SCAN NO CHIP	OVER THE COUNTER
1713	DOG	ALASKAN HUSKY	JAN	2017	8500	5	STRAY	1/14/2017	TRANSFER	1/28/2017	SCAN NO CHIP	FIELD
1714	DOG	CHIHUAHUA SH	JUN	2017	5500	4	STRAY	6/17/2017	TRANSFER	6/26/2017	SCAN NO CHIP	SWEEP
1715	DOG	PIT BULL	OCT	2016	10101	6	STRAY	10/15/2016	TRANSFER	11/6/2016	SCAN NO CHIP	FIELD
1716	CAT	DOMESTIC SH	APR	2017	10101	6	STRAY	4/18/2017	ADOPTION	4/25/2017	SCAN NO CHIP	OVER THE COUNTER
