year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes,superbowl_ads_dot_com_url,youtube_url
2002,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,3548,13,0,https://superbowl-ads.com/2002-bud-light-falcon/,https://www.youtube.com/watch?v=ZBD4dYTpYAU
2002,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,63129,178,5,https://superbowl-ads.com/2002-bud-light-robobash/,https://www.youtube.com/watch?v=oJvsWvaTr4w
2013,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,139,1,0,https://superbowl-ads.com/video-etrade-baby-2013-super-bowl-xlvii-commercial-save-it/,https://www.youtube.com/watch?v=F0nhq4GO90s
2008,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,24595,26,3,https://superbowl-ads.com/2008-bud-light-breathe-fire/,https://www.youtube.com/watch?v=AhqPl1IKVo4
2012,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,15776,63,4,https://superbowl-ads.com/2012-coca-cola-arghh-ny-bear/,https://www.youtube.com/watch?v=jhvAXT9R_3U
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,55676,222,9,https://superbowl-ads.com/2004-pepsi-jimi-hendrix/,https://www.youtube.com/watch?v=NOOmu1Rz17Y
2010,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,132054,273,18,https://superbowl-ads.com/hd-exclusive-dog-shock-collar-doritos-commercial-super-bowl-44-2010-super-bowl-xliv/,https://www.youtube.com/watch?v=UBaZDWIs3fs
2012,Kia,TRUE,FALSE,TRUE,FALSE,FALSE,56257,396,5,https://superbowl-ads.com/2012-kia-optima-drive-the-dream-extended-version/,https://www.youtube.com/watch?v=9RI6OGXq11Y
2012,NFL,FALSE,FALSE,TRUE,FALSE,FALSE,403641,1980,42,https://superbowl-ads.com/2012-nfl-timeline/,https://www.youtube.com/watch?v=CPr4-P19NtE
2010,Hynudai,FALSE,FALSE,TRUE,FALSE,FALSE,176547,306,11,https://superbowl-ads.com/hd-exclusive-2010-super-bowl-xliv-commercial-with-brett-favre-hyundai-commercial/,https://www.youtube.com/watch?v=KqAWv2wCW8I
2004,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,561,6,0,https://superbowl-ads.com/2004-bud-light-paintball/,https://www.youtube.com/watch?v=qbS0gF3YdBg
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,166102,161,10,https://superbowl-ads.com/2008-bud-light-x-ray-vision/,https://www.youtube.com/watch?v=cOEMI8HRhlA
2006,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,95355,328,14,https://superbowl-ads.com/2006-bud-light-magic-fridge/,https://www.youtube.com/watch?v=67dRRrRz2t8
